pH,EC,Organic Carbon(OC),Available Nitrogen(N),Available Phosphorus(P),Available Potassium(K),Available Sulphur(S),Available Zinc(Zn),Available Boron(B),Available Iron(Fe),Available Manganese(Mn),Available Copper(Cu),Fertility
8.13,0.45,0.87,209.0,7.76,309.0,3.1,0.72,0.85,0.46,0.36,3.1,1.0
8.0,0.47,0.9,111.0,5.58,458.0,4.58,0.58,0.58,0.66,0.58,4.58,0.0
8.15,0.58,0.77,148.0,9.47,310.0,5.1,0.14,0.13,0.58,0.35,5.1,0.0
8.36,0.96,0.59,129.0,8.76,560.0,6.61,0.27,0.36,0.99,0.3,6.61,0.0
8.2,0.6,0.73,290.0,9.87,300.0,7.72,0.08,0.11,1.36,0.4,7.72,0.0
8.25,0.82,0.58,142.0,8.6,187.0,8.02,0.1,0.18,1.82,0.15,8.02,0.0
8.35,0.67,0.82,188.0,7.78,260.0,7.89,0.48,0.29,1.87,0.37,7.89,0.0
8.46,0.58,0.53,182.0,4.1,189.0,7.7,0.29,0.38,1.55,0.58,7.7,0.0
8.18,0.34,0.58,156.0,5.86,510.0,8.41,0.11,0.42,1.35,0.38,8.41,0.0
8.21,0.67,0.43,127.0,7.77,160.0,5.56,0.4,0.11,1.6,0.33,5.56,0.0
8.22,0.58,0.5,149.0,14.68,187.0,7.11,0.29,0.07,1.87,0.41,7.11,0.0
8.32,0.15,0.87,188.0,9.36,268.0,8.12,0.29,0.09,5.87,0.58,8.12,0.0
8.36,0.45,0.58,129.0,5.58,160.0,5.03,0.4,0.1,3.58,0.32,5.03,0.0
8.13,0.15,0.66,149.0,9.66,132.0,6.19,0.11,0.18,1.6,0.11,8.19,0.0
8.36,0.4,0.32,200.0,13.85,410.0,5.25,0.4,0.22,1.38,1.11,5.25,0.0
8.1,0.38,0.25,149.0,9.0,587.0,4.67,0.29,0.38,1.4,0.69,4.67,0.0
8.12,0.45,0.69,129.0,5.85,100.0,3.89,0.47,0.42,1.38,0.32,3.89,0.0
8.0,0.67,0.58,140.0,9.1,187.0,5.56,0.69,0.11,1.27,0.11,5.56,0.0
8.13,0.72,0.72,199.0,6.58,200.0,6.12,0.3,0.12,1.32,0.2,6.12,0.0
8.14,0.32,0.46,90.12,5.61,292.0,7.43,0.29,0.11,1.11,0.69,7.49,0.0
8.25,0.56,0.32,60.4,9.46,315.0,7.08,0.08,0.25,1.49,0.72,7.08,0.0
8.02,0.41,0.34,60.8,7.64,349.0,6.25,0.49,0.12,0.84,0.63,6.25,0.0
8.12,0.48,0.53,106.0,5.48,314.0,5.17,0.57,0.1,0.79,0.45,5.17,0.0
8.09,0.51,0.58,116.0,4.09,294.0,4.29,0.61,0.08,0.65,0.48,4.29,0.0
8.14,0.57,0.61,122.0,5.3,329.0,7.88,0.18,0.11,0.79,0.72,7.88,0.0
8.21,0.46,0.47,90.14,6.15,271.0,8.1,0.13,0.07,0.88,0.6,8.1,0.0
8.32,0.54,0.3,60.0,6.29,345.0,9.92,0.4,0.1,0.4,1.09,9.92,0.0
8.09,0.59,0.28,50.16,7.14,368.0,6.49,0.12,0.18,0.47,0.39,6.49,0.0
8.12,0.62,0.45,90.0,5.22,412.0,7.45,0.08,0.22,0.55,0.4,7.45,0.0
8.09,0.46,0.57,114.0,4.34,429.0,6.49,0.93,0.1,0.4,0.11,6.49,0.0
7.99,0.82,0.18,36.0,5.89,291.0,6.25,0.22,0.09,0.79,0.24,6.25,0.0
8.3,0.46,0.52,60.4,6.12,375.0,7.72,0.08,0.11,0.71,0.11,7.72,0.0
8.22,0.34,0.47,90.14,7.24,329.0,6.01,0.1,0.18,0.18,0.49,6.01,0.0
8.15,0.45,0.61,122.0,8.2,402.0,8.02,0.72,0.12,1.02,0.18,8.02,0.0
8.03,0.57,0.34,60.4,8.03,317.0,5.61,0.57,0.09,0.79,0.25,5.61,0.0
7.88,0.43,0.11,180.0,4.89,290.0,7.49,0.08,0.08,1.11,0.63,0.69,0.0
8.41,0.88,0.23,147.0,5.42,142.0,8.02,0.1,0.1,1.72,0.29,0.72,0.0
8.1,0.92,0.4,189.0,7.79,186.0,7.77,0.15,0.18,0.89,0.63,0.89,0.0
8.07,0.46,0.25,142.0,8.82,292.0,8.49,0.11,0.12,0.23,0.72,0.48,0.0
7.98,0.79,0.41,200.0,9.99,227.0,9.99,0.07,0.15,0.91,0.11,0.29,0.0
8.02,0.86,0.29,209.0,10.41,129.0,10.42,0.01,0.22,1.71,0.48,0.49,0.0
8.1,0.77,0.48,147.0,9.29,149.0,9.29,0.08,0.41,1.62,0.49,0.78,0.0
8.29,0.29,0.2,189.0,9.2,209.0,7.79,0.1,0.52,1.11,0.53,0.62,0.0
8.0,0.41,0.29,202.0,4.11,292.0,8.02,0.15,0.11,1.72,0.77,0.18,0.0
7.39,0.29,0.41,147.0,5.81,310.0,7.49,0.11,0.18,1.61,0.89,0.62,0.0
7.89,0.42,0.27,189.0,9.92,198.0,7.77,0.29,0.27,1.0,0.71,0.18,0.0
8.07,0.78,0.11,209.0,6.42,209.0,8.42,0.38,0.63,0.98,0.69,0.22,0.0
7.9,0.82,0.27,149.0,7.77,111.0,9.99,0.49,0.29,0.62,0.72,0.69,0.0
8.08,0.43,0.56,129.0,8.29,149.0,8.42,0.32,0.38,0.11,0.49,0.72,0.0
7.29,0.77,0.48,149.0,9.92,189.0,9.99,0.49,0.49,0.72,0.11,0.88,0.0
7.89,0.69,0.11,180.0,4.88,290.0,6.69,0.69,0.11,1.11,0.79,0.69,0.0
8.42,0.88,0.29,192.0,5.92,140.0,7.37,0.72,0.42,1.79,0.88,0.72,0.0
8.02,0.92,0.32,209.0,6.66,182.0,7.77,0.68,0.12,1.01,0.42,0.68,0.0
7.49,0.68,0.17,218.0,7.78,129.0,8.42,0.72,0.18,1.29,0.73,0.72,0.0
8.42,0.71,0.23,148.0,8.02,142.0,9.99,0.6,0.42,1.01,0.48,0.6,0.0
8.08,0.88,0.48,196.0,7.79,189.0,7.42,0.42,0.29,1.79,0.52,0.42,0.0
7.49,0.61,0.52,209.0,8.02,142.0,9.99,0.73,0.41,1.0,0.11,0.73,1.0
8.1,0.58,0.11,218.0,7.69,188.0,8.42,0.88,0.23,0.89,0.73,0.88,0.0
7.92,0.68,0.18,290.0,8.42,182.0,7.72,0.92,0.49,0.92,0.62,0.92,0.0
8.41,0.79,0.22,300.0,9.99,156.0,6.49,0.63,0.29,0.9,0.42,0.63,0.0
8.29,0.29,0.41,198.0,10.41,142.0,6.02,0.4,0.39,0.29,0.69,0.4,0.0
8.0,0.88,0.29,129.0,9.29,188.0,7.79,0.77,0.42,1.11,0.72,0.77,0.0
7.59,0.69,0.41,188.0,10.49,182.0,8.42,0.82,0.29,1.79,0.43,0.82,0.0
7.89,0.78,0.52,140.0,11.48,129.0,9.99,0.79,0.42,1.29,0.48,0.79,1.0
7.92,0.88,0.11,129.0,9.99,147.0,7.77,0.29,0.11,1.11,0.52,0.29,0.0
8.01,0.47,0.11,180.0,4.11,290.0,7.77,0.01,0.08,1.11,0.63,0.69,0.0
7.88,0.58,0.18,142.0,8.42,142.0,6.42,0.07,0.1,1.79,0.48,0.73,0.0
7.92,0.77,0.42,289.0,9.99,188.0,7.89,0.09,0.18,0.88,0.52,0.88,0.0
7.42,0.89,0.13,256.0,10.41,196.0,7.01,0.11,0.22,0.92,0.11,0.42,0.0
7.56,0.41,0.14,148.0,9.29,209.0,6.48,0.18,0.07,0.86,0.72,0.89,0.0
8.49,0.58,0.18,188.0,10.11,211.0,6.29,0.22,0.01,0.42,0.6,0.48,0.0
8.07,0.41,0.29,142.0,9.29,290.0,6.49,0.4,0.08,1.11,0.42,0.68,0.0
8.0,0.73,0.13,189.0,9.0,142.0,5.48,0.11,0.1,1.79,0.29,0.73,0.0
8.07,0.89,0.47,147.0,8.42,187.0,6.49,0.42,0.18,1.11,0.38,0.87,0.0
7.97,0.41,0.23,189.0,9.99,189.0,7.49,0.11,0.22,1.42,0.88,0.82,0.0
7.99,0.99,0.49,182.0,10.41,196.0,8.11,0.08,0.41,1.0,0.94,0.73,0.0
8.02,0.79,0.29,188.0,4.11,129.0,7.77,0.1,0.11,0.79,0.41,0.69,0.0
8.41,0.88,0.43,129.0,7.89,149.0,8.01,0.18,0.42,0.88,0.89,0.77,0.0
8.29,0.92,0.56,147.0,7.77,188.0,7.11,0.49,0.29,0.92,0.09,0.4,0.0
8.4,0.69,0.11,189.0,8.42,196.0,6.49,0.79,0.79,1.01,0.1,1.11,0.0
7.49,0.43,0.11,290.0,4.88,290.0,7.77,0.08,0.01,1.11,0.69,0.69,0.0
8.01,0.88,0.23,142.0,5.92,140.0,8.05,0.1,0.05,1.79,0.72,0.72,0.0
8.07,0.49,0.41,188.0,6.42,129.0,8.11,0.11,0.1,1.88,0.29,0.69,0.0
7.77,0.58,0.11,142.0,7.77,140.0,7.89,0.15,0.15,1.92,0.42,0.77,0.0
8.01,0.62,0.29,182.0,6.42,290.0,8.05,0.49,0.08,1.01,0.88,0.89,0.0
8.05,0.73,0.41,182.0,6.01,140.0,7.49,0.58,0.02,1.79,0.92,0.41,0.0
8.1,0.88,0.11,156.0,7.42,129.0,8.09,0.72,0.07,1.88,0.62,0.62,0.0
7.49,0.92,0.29,111.0,6.42,149.0,7.77,0.68,0.42,1.92,0.11,0.41,0.0
7.88,0.62,0.34,172.0,7.11,177.0,8.41,0.29,0.36,0.98,0.79,0.92,0.0
7.92,0.41,0.62,186.0,6.42,189.0,9.99,0.92,0.12,0.41,0.88,0.62,0.0
8.4,0.73,0.11,192.0,7.11,277.0,8.05,1.08,0.18,0.77,0.92,0.11,0.0
8.29,0.88,0.47,209.0,8.42,189.0,7.77,1.41,0.29,0.89,0.71,0.62,0.0
8.08,0.49,0.58,111.0,9.99,192.0,8.08,1.92,0.42,1.11,0.6,0.11,0.0
8.1,0.73,0.62,148.0,7.79,177.0,8.01,0.98,0.29,1.79,0.71,0.72,0.0
8.18,0.88,0.11,192.0,8.07,189.0,7.49,0.47,0.38,1.09,0.82,0.88,0.0
7.98,0.69,0.11,180.0,4.11,290.0,7.79,0.08,0.08,1.11,0.69,0.69,0.0
8.4,0.77,0.18,142.0,8.18,110.0,8.01,0.1,0.1,0.88,0.72,0.72,0.0
8.1,0.89,0.22,182.0,7.79,188.0,7.49,0.15,0.15,0.42,0.56,0.88,0.0
8.07,0.72,0.41,192.0,6.29,209.0,8.42,0.18,0.21,1.05,0.42,0.92,0.0
7.98,0.89,0.62,148.0,14.11,210.0,9.99,0.07,0.4,1.11,0.78,0.62,0.0
8.01,0.99,0.11,192.0,19.42,290.0,10.41,0.05,0.08,1.79,0.88,0.77,0.0
8.07,0.72,0.23,199.0,11.49,142.0,9.99,0.1,0.1,1.01,0.62,0.62,0.0
8.15,0.68,0.27,209.0,18.42,188.0,10.41,0.15,0.15,1.89,0.42,0.79,0.0
8.28,0.72,0.49,149.0,9.99,192.0,9.29,0.11,0.22,1.01,0.61,0.82,0.0
8.1,0.68,0.29,129.0,10.41,182.0,7.77,0.18,0.48,1.07,0.29,0.79,0.0
8.4,0.92,0.33,149.0,11.49,156.0,6.49,0.22,0.11,1.11,0.38,0.89,0.0
7.49,0.69,0.38,188.0,12.49,200.0,7.49,0.48,0.18,1.79,0.47,0.52,0.0
8.09,0.72,0.42,142.0,18.39,146.0,8.04,0.62,0.07,1.07,0.88,0.88,0.0
8.1,0.11,0.38,129.0,14.39,186.0,9.99,0.62,0.1,1.11,0.92,0.92,0.0
8.12,0.62,0.49,188.0,18.49,147.0,7.49,0.77,0.15,1.92,0.62,0.42,0.0
7.89,0.49,0.11,180.0,4.88,290.0,7.79,0.08,0.09,1.11,0.62,0.69,0.0
8.4,0.89,0.72,142.0,8.42,142.0,8.42,0.1,0.11,1.09,0.72,0.77,0.0
8.0,0.52,0.62,192.0,9.99,186.0,7.49,0.15,0.1,1.49,0.48,0.82,0.0
8.1,0.11,0.72,200.0,10.41,129.0,8.07,0.29,0.15,1.07,0.62,0.69,0.0
8.02,0.72,0.62,149.0,9.99,149.0,7.49,0.47,0.22,0.89,0.78,0.72,0.0
7.49,0.88,0.11,148.0,4.88,188.0,7.77,0.58,0.47,0.48,0.6,0.56,0.0
7.88,0.92,0.42,177.0,5.42,196.0,8.42,0.62,0.41,0.62,0.48,0.47,0.0
8.41,0.62,0.11,189.0,7.77,200.0,7.79,0.29,0.23,0.77,0.41,0.88,0.0
8.05,0.77,0.29,207.0,8.41,147.0,8.42,0.78,0.4,0.68,0.29,0.62,0.0
8.01,0.88,0.43,111.0,9.99,188.0,7.79,0.62,0.41,1.01,0.47,0.48,0.0
7.49,0.62,0.48,179.0,10.41,196.0,8.42,0.41,0.11,1.07,0.88,0.72,0.0
7.99,0.77,0.62,209.0,9.99,189.0,7.79,0.7,0.29,1.11,0.92,0.62,0.0
8.05,0.88,0.49,110.0,10.41,147.0,8.42,0.88,0.07,1.72,0.1,0.49,0.0
8.1,0.92,0.62,149.0,10.29,188.0,7.62,0.47,0.09,1.62,0.18,0.63,0.0
8.12,0.62,0.11,129.0,11.41,149.0,7.79,0.56,0.1,1.11,0.22,0.79,0.0
7.49,0.79,0.11,190.0,4.88,290.0,7.7,0.08,0.08,1.11,0.62,0.69,0.0
8.41,0.88,0.17,142.0,9.92,142.0,6.8,0.1,0.1,1.7,0.72,0.72,0.0
7.89,0.47,0.39,188.0,10.41,186.0,7.31,0.15,0.15,1.01,0.79,0.88,0.0
8.42,0.56,0.41,192.0,9.99,147.0,6.09,0.41,0.11,1.62,0.88,0.92,0.0
8.05,0.42,0.56,156.0,10.41,188.0,7.39,0.49,0.07,1.72,0.62,0.42,0.0
7.49,0.58,0.11,142.0,9.62,192.0,7.77,0.62,0.05,1.77,0.41,0.89,0.0
8.0,0.62,0.23,199.0,10.11,182.0,8.02,0.77,0.1,1.82,0.29,0.35,0.0
8.05,0.77,0.29,149.0,14.11,207.0,7.49,0.23,0.18,1.05,0.47,0.62,0.0
8.1,0.89,0.49,189.0,16.42,186.0,8.01,0.41,0.22,1.01,0.56,0.71,0.0
8.11,0.48,0.62,149.0,17.34,147.0,7.41,0.72,0.07,1.07,0.41,0.41,1.0
8.18,0.49,0.11,188.0,16.49,188.0,9.99,0.69,0.18,1.11,0.62,0.38,0.0
8.2,0.52,0.29,142.0,17.48,147.0,7.85,0.29,0.03,1.72,0.79,0.41,0.0
8.49,0.41,0.2,111.0,4.88,129.0,8.08,0.49,0.09,1.62,0.88,0.11,0.0
8.29,0.62,0.47,149.0,7.72,185.0,7.79,0.62,0.11,0.89,0.99,0.29,0.0
8.41,0.49,0.58,188.0,8.82,209.0,8.08,0.72,0.19,0.49,0.4,0.19,0.0
7.1,0.53,0.11,120.0,8.88,120.0,7.89,0.08,0.08,1.11,0.85,0.69,0.0
8.12,0.88,0.23,196.0,9.29,148.0,7.68,0.1,0.1,1.7,0.77,0.78,0.0
7.89,0.92,0.48,200.0,9.99,1562.0,6.48,0.15,0.15,0.89,0.96,0.68,0.0
7.96,0.96,0.11,148.0,8.42,142.0,7.79,0.22,0.21,0.75,0.37,0.29,0.0
8.18,0.82,0.18,192.0,9.39,129.0,6.05,0.18,0.18,0.41,0.49,0.11,0.0
8.05,0.56,0.22,149.0,7.77,189.0,7.77,0.29,0.29,0.98,0.56,0.48,0.0
8.29,0.42,0.18,158.0,8.42,140.0,6.05,0.38,0.38,1.01,0.47,0.69,0.0
8.0,0.88,0.29,169.0,9.99,209.0,7.88,0.29,0.41,1.77,0.58,0.78,0.0
7.92,0.43,0.11,208.0,8.42,211.0,7.49,0.48,0.08,1.68,0.86,0.89,0.0
8.05,0.34,0.86,211.0,9.99,149.0,8.41,0.11,0.1,1.01,0.56,0.79,0.0
7.92,0.84,0.79,219.0,10.41,188.0,9.99,0.56,0.15,1.98,0.41,0.29,0.0
7.82,0.96,0.11,196.0,9.99,209.0,10.41,0.11,0.29,1.01,0.16,0.48,0.0
8.42,0.88,0.34,129.0,10.41,201.0,9.99,0.07,0.48,1.78,0.18,0.56,0.0
8.1,0.96,0.38,140.0,9.29,109.0,4.55,0.1,0.56,1.0,0.22,0.1,0.0
8.12,0.97,0.42,196.0,10.41,111.0,8.49,0.15,0.11,1.96,0.56,0.15,0.0
8.08,0.14,0.11,148.0,4.88,180.0,6.42,0.08,0.08,1.11,0.68,0.69,0.0
8.1,0.58,0.18,209.0,5.92,147.0,7.86,0.1,0.1,1.79,0.38,0.77,0.0
8.15,0.69,0.29,211.0,6.42,188.0,7.77,0.15,0.15,0.89,0.48,0.82,0.0
7.79,0.29,0.38,148.0,7.48,192.0,8.86,0.11,0.22,0.48,0.52,0.95,0.0
8.1,0.78,0.42,156.0,4.29,129.0,9.99,0.47,0.48,0.05,0.11,0.21,0.0
8.15,0.82,0.56,147.0,14.88,148.0,7.77,0.52,0.52,0.47,0.4,0.47,0.0
7.49,0.88,0.42,211.0,15.92,152.0,6.49,0.49,0.11,0.58,0.42,0.52,0.0
7.59,0.96,0.29,207.0,14.92,140.0,6.02,0.52,0.17,0.96,0.88,0.11,0.0
8.05,0.47,0.4,209.0,16.29,149.0,7.49,0.07,0.22,0.47,0.56,0.47,0.0
8.1,0.98,0.39,148.0,17.34,129.0,7.07,0.09,0.18,0.88,0.42,0.52,0.0
8.18,0.48,0.21,196.0,19.38,148.0,6.96,0.11,0.11,0.98,0.52,0.47,0.0
8.2,0.52,0.38,147.0,17.64,152.0,7.77,0.42,0.07,1.1,0.88,0.98,0.0
8.21,0.11,0.21,198.0,16.49,148.0,8.06,0.79,0.05,1.15,0.42,0.49,0.0
8.13,0.48,0.29,199.0,17.38,182.0,7.07,0.89,0.1,1.19,0.59,0.4,0.0
8.1,0.58,0.38,209.0,14.09,149.0,8.07,0.49,0.18,1.25,0.41,0.32,0.0
8.05,0.27,0.11,148.0,4.88,129.0,8.49,0.08,0.1,0.98,0.61,0.1,0.0
8.1,0.48,0.17,209.0,8.29,209.0,7.79,0.1,0.15,0.42,0.88,0.18,0.0
8.15,0.52,0.19,211.0,4.11,148.0,8.42,0.15,0.11,0.58,0.92,0.78,0.0
8.22,0.98,0.23,219.0,8.49,152.0,7.79,0.18,0.07,1.01,0.68,0.88,0.0
8.18,0.52,0.48,148.0,7.49,196.0,8.42,0.07,0.09,1.07,0.72,0.47,0.0
8.07,0.97,0.52,152.0,8.42,147.0,8.0,0.05,0.11,1.11,0.88,0.52,0.0
8.1,0.67,0.11,111.0,9.99,196.0,7.41,0.04,0.18,1.79,0.53,0.47,0.0
8.05,0.99,0.23,142.0,7.34,179.0,7.77,0.02,0.2,1.88,0.68,0.52,0.0
8.1,0.79,0.49,198.0,9.99,188.0,8.42,0.1,0.41,1.42,0.72,0.48,0.0
8.07,0.87,0.29,152.0,10.41,192.0,8.0,0.15,0.08,1.11,0.53,0.68,0.0
8.1,0.29,0.53,111.0,10.42,200.0,7.49,0.22,0.1,0.98,0.47,0.47,0.0
8.18,0.79,0.59,179.0,9.29,111.0,8.49,0.47,0.15,0.47,0.58,0.58,0.0
8.29,0.88,0.63,188.0,8.49,148.0,8.52,0.52,0.18,0.98,0.47,0.68,0.0
8.41,0.92,0.72,192.0,4.88,152.0,7.79,0.07,0.29,0.43,0.58,0.72,0.0
8.1,0.97,0.61,158.0,5.42,111.0,8.88,0.09,0.18,0.58,0.92,0.68,0.0
7.98,0.88,0.35,141.0,4.33,180.0,6.44,0.62,0.24,0.64,0.24,0.22,0.0
8.05,0.66,0.48,155.0,8.19,210.0,8.99,0.37,0.37,0.37,0.5,0.41,0.0
8.1,0.71,0.57,140.0,7.67,140.0,5.55,0.44,0.44,0.62,0.41,0.77,0.0
8.15,0.63,0.55,200.0,8.44,170.0,7.99,0.37,0.36,0.44,0.36,0.49,0.0
8.0,0.6,0.6,160.0,5.66,140.0,4.43,0.66,0.79,0.79,0.77,0.33,1.0
7.92,0.49,0.5,210.0,8.44,200.0,7.82,0.75,0.42,0.62,0.49,0.64,0.0
8.01,0.63,0.44,160.0,7.37,180.0,6.44,0.44,0.3,0.44,0.34,0.28,0.0
7.75,0.75,0.35,140.0,5.99,240.0,5.88,0.32,0.88,0.32,0.37,0.44,0.0
8.04,0.66,0.44,190.0,6.33,140.0,4.44,0.5,0.66,0.44,0.66,0.366,0.0
7.75,0.62,0.36,140.0,8.44,180.0,5.88,0.66,0.73,0.35,0.75,0.65,0.0
8.2,0.44,0.5,110.0,7.75,200.0,4.77,0.37,0.85,0.62,0.62,0.33,0.0
7.75,0.7,0.41,140.0,4.42,190.0,6.27,0.5,0.77,0.48,0.55,0.5,0.0
8.0,0.48,0.37,170.0,7.2,140.0,7.73,0.44,0.69,0.55,0.44,0.44,0.0
7.75,0.35,0.62,140.0,8.11,220.0,6.62,0.3,0.35,0.44,0.34,0.24,0.0
8.1,0.49,0.36,160.0,7.7,160.0,8.19,0.55,0.48,0.51,0.24,0.62,0.0
8.1,0.62,0.62,140.0,4.88,180.0,6.66,0.35,0.41,0.65,0.55,0.24,0.0
7.75,0.35,0.38,110.0,6.66,210.0,7.88,0.44,0.73,0.44,0.44,0.61,0.0
8.14,0.62,0.44,160.0,8.19,160.0,8.44,0.64,0.69,0.54,0.36,0.41,0.0
7.81,0.44,0.37,190.0,6.48,220.0,6.44,0.52,0.55,0.65,0.75,0.64,0.0
8.14,0.5,0.62,140.0,8.21,170.0,7.73,0.62,0.42,0.43,0.48,0.37,0.0
7.19,0.64,0.55,180.0,10.48,140.0,6.88,0.75,0.4,0.5,0.44,0.49,1.0
8.35,0.68,0.64,190.0,5.51,220.0,10.24,0.48,0.3,0.76,0.32,0.5,0.0
7.75,73.0,0.55,140.0,11.11,190.0,8.19,0.5,0.24,0.89,0.64,0.44,0.0
8.49,0.41,0.41,220.0,10.66,200.0,7.64,0.64,0.37,0.44,0.55,0.75,0.0
7.75,0.37,0.62,160.0,8.44,160.0,8.33,0.77,0.41,0.37,0.66,0.44,0.0
8.03,0.8,0.34,180.0,7.88,120.0,5.19,0.48,0.34,0.81,0.47,0.37,0.0
7.75,0.49,0.5,110.0,12.3,140.0,4.41,0.8,0.64,0.66,0.62,0.48,1.0
8.41,0.32,0.44,120.0,8.19,220.0,6.44,0.64,0.37,0.65,0.32,0.37,0.0
7.99,0.64,0.32,140.0,4.4,190.0,8.19,0.35,0.61,0.44,0.69,0.41,0.0
8.1,0.64,0.34,170.0,6.88,220.0,6.44,0.66,0.41,0.62,0.6,0.55,0.0
7.75,0.71,0.69,210.0,7.89,140.0,8.19,0.37,0.6,0.69,0.44,0.44,0.0
8.14,0.66,0.6,110.0,4.45,200.0,7.77,0.44,0.39,0.75,0.33,0.88,0.0
7.95,0.74,0.34,80.0,5.2,190.0,6.66,0.81,0.42,0.64,0.44,0.49,0.0
8.13,0.62,0.72,140.0,7.41,160.0,8.33,0.41,0.55,0.32,0.35,0.41,0.0
7.75,0.62,0.62,220.0,8.39,140.0,5.41,0.37,0.44,0.61,0.81,0.75,0.0
8.25,0.48,0.48,160.0,6.22,210.0,6.74,0.62,0.55,0.44,0.64,0.62,0.0
7.8,0.61,0.62,200.0,10.33,190.0,8.12,0.37,0.49,0.73,0.77,0.59,0.0
8.0,0.5,0.36,130.0,4.49,140.0,7.49,0.44,0.37,0.43,0.49,0.33,0.0
8.4,0.62,0.55,160.0,5.31,220.0,5.21,0.2,0.61,0.5,0.33,0.41,0.0
7.72,0.41,0.5,240.0,11.2,180.0,6.41,0.41,0.32,0.44,0.41,0.55,0.0
8.2,0.66,0.44,190.0,8.29,240.0,7.88,0.37,0.48,0.37,0.62,0.62,0.0
7.8,0.47,0.37,140.0,6.66,160.0,4.83,0.42,0.4,0.42,0.55,0.77,0.0
8.4,0.66,0.81,220.0,5.41,220.0,8.12,0.6,0.36,0.24,0.44,0.41,0.0
7.77,0.4,0.41,140.0,8.66,190.0,7.71,0.24,0.75,0.2,0.3,0.35,0.0
8.1,0.64,64.0,170.0,4.88,290.0,7.71,0.08,0.09,1.11,0.69,0.6,0.0
8.12,0.6,0.63,190.0,5.48,142.0,8.05,0.1,0.11,1.72,0.29,0.42,0.0
7.14,0.44,0.74,200.0,11.42,168.0,6.49,0.15,0.15,1.88,0.38,0.6,1.0
8.05,0.5,0.5,140.0,9.99,129.0,6.02,0.29,0.22,1.96,0.17,0.48,0.0
7.75,0.79,0.61,200.0,10.41,177.0,7.4,0.47,0.47,1.0,0.19,0.29,0.0
8.4,0.47,0.72,140.0,5.42,268.0,7.79,0.68,0.27,1.01,0.2,0.72,0.0
8.09,0.62,0.49,180.0,7.72,308.0,8.05,0.72,0.6,1.07,0.41,0.48,0.0
7.79,0.77,0.67,210.0,6.7,178.0,9.99,0.6,0.41,1.11,0.68,0.72,0.0
8.1,0.4,0.44,180.0,8.1,165.0,7.65,0.49,0.38,1.77,0.72,0.42,0.0
7.35,0.33,0.75,142.0,9.99,172.0,7.21,0.72,0.29,1.89,0.6,0.68,1.0
8.19,0.62,0.44,177.0,10.41,185.0,6.06,0.69,0.41,1.11,0.72,0.79,0.0
7.5,0.24,0.6,189.0,9.29,191.0,7.79,0.77,0.72,1.72,0.68,0.29,1.0
8.41,0.38,0.48,198.0,8.49,207.0,8.05,0.82,0.11,1.01,0.78,0.48,0.0
7.55,0.6,0.55,207.0,10.41,201.0,8.11,0.72,0.23,1.07,0.68,0.6,1.0
8.1,0.36,0.41,211.0,9.29,198.0,7.49,0.68,0.41,1.11,0.77,0.72,0.0
7.49,0.4,0.11,198.0,4.88,290.0,7.77,0.08,0.08,1.11,0.68,0.69,0.0
8.05,0.85,0.23,129.0,5.92,148.0,8.05,0.1,0.1,1.79,0.72,0.77,0.0
8.11,0.91,0.4,168.0,6.92,152.0,9.08,0.15,0.15,1.01,0.6,0.82,0.0
8.15,0.88,0.29,177.0,7.77,172.0,7.17,0.22,0.22,1.72,0.29,0.98,0.0
8.07,0.68,0.42,189.0,8.42,188.0,9.13,0.48,0.47,1.6,0.38,0.29,0.0
7.49,0.72,0.39,207.0,9.99,192.0,9.0,0.52,0.52,1.42,0.48,1.11,0.0
7.4,0.88,0.42,111.0,10.41,160.0,8.5,0.41,0.41,1.01,0.28,1.4,0.0
8.4,0.92,0.21,179.0,9.41,148.0,7.89,0.77,0.71,1.72,0.41,1.08,0.0
7.89,0.29,0.38,182.0,7.77,172.0,6.48,0.89,0.08,1.08,0.71,1.02,0.0
8.05,0.38,0.47,199.0,6.48,209.0,7.49,0.41,0.42,1.72,0.68,0.98,0.0
7.99,0.4,0.68,207.0,7.49,111.0,7.07,0.29,0.08,1.6,0.72,0.42,0.0
8.05,0.85,0.72,168.0,8.05,148.0,6.48,0.49,0.1,1.42,0.38,0.68,0.0
8.07,0.41,0.6,177.0,9.99,192.0,5.49,0.71,0.15,1.68,0.48,0.29,0.0
7.97,0.75,0.29,189.0,7.47,168.0,7.49,0.69,0.22,1.72,0.88,0.2,0.0
8.05,0.88,0.49,179.0,9.99,177.0,8.05,0.72,0.29,1.77,0.52,0.41,0.0
7.49,0.41,0.11,198.0,4.88,290.0,9.99,0.08,0.08,1.11,0.68,0.69,0.0
8.4,0.72,0.17,129.0,5.92,142.0,7.68,0.4,0.11,1.72,0.29,0.72,0.0
8.05,0.68,0.13,148.0,6.42,198.0,7.42,0.29,0.17,0.89,0.38,0.88,0.0
7.05,0.42,0.1,152.0,7.77,140.0,6.42,0.41,0.12,0.4,0.29,0.42,0.0
8.04,0.68,0.18,209.0,8.42,172.0,5.42,0.92,0.07,0.71,0.17,0.68,0.0
8.1,0.72,0.29,111.0,9.99,209.0,6.09,0.38,0.1,0.88,0.29,0.72,0.0
7.98,0.68,0.2,148.0,10.41,111.0,7.77,0.79,0.18,0.29,0.41,0.69,0.0
7.89,0.77,0.41,192.0,9.08,490.0,6.42,0.6,0.42,1.07,0.72,0.88,0.0
